"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"","","","","[","Friday, October 10, 2025 at 3:09 PM","Put Sweep","TSLA","340","01/16/2026","Put","Ask","501","$834.2K","1,172","4,877","Friday, October 10, 2025 at 2:53 PM","3:09 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:19 PM","Put Sweep","TSLA","420","10/17/2025","Put","Ask","300","$408K","25,046","11,726","Friday, October 10, 2025 at 3:04 PM","3:19 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:24 PM","Call Sweep","UNH","320","10/17/2025","Call","Ask","225","$842.6K","300","6,976","Friday, October 10, 2025 at 3:09 PM","3:24 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:51 PM","Put Sweep","ORCL","292.5","10/17/2025","Put","Above","386","$453.6K","1,346","712","Friday, October 10, 2025 at 3:36 PM","3:51 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:53 PM","Unusual Put Sweep","OKLO","146","10/17/2025","Put","Ask","1,200","$1.2M","5,624","13","Friday, October 10, 2025 at 3:38 PM","3:53 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","210","$630K","2,185","4","Friday, October 10, 2025 at 3:39 PM","3:54 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","216","$648K","2,833","4","Friday, October 10, 2025 at 3:39 PM","3:54 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 3:58 PM","Call Sweep","BMNR","40","01/15/2027","Call","Ask","435","$1.3M","1,280","9,477","Friday, October 10, 2025 at 3:43 PM","3:58 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Friday, October 10, 2025 at 4:04 PM","Put Sweep","CAT","470","11/21/2025","Put","Ask","399","$598.5K","479","825","Friday, October 10, 2025 at 3:49 PM","4:04 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/10/25, 4:09 PM","—","Friday, October 10, 2025 at 4:09 PM","Put Sweep","UPXI","7.5","12/19/2025","Put","Ask","1,500","$420K","1,506","5,170","Friday, October 10, 2025 at 3:54 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
